,reward,velocity,power_normalized,target_v,total_power_sec,env,seed,id,v_e_ratio,power,distance_delta,rew_b_1.0_v_rate_0.8,rew_b_1.0_v_rate_0.6,rew_b_1.0_v_rate_0.5,rew_b_1.0_v_rate_0.2
1,0.46366833887105174,0.026846575014526274,0.07349607846217428,0.03000000000000001,51.447254923521996,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.36527901319719003,5144.7254923522,1.073863000581051,0.9012094513615989,0.9075330689056555,0.910694877677684,0.920180303993769
0,0.46102746730495014,0.027677783566342585,0.0813902529947356,0.025,56.97317709631491,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.3400626309409901,5697.317709631491,1.1071113426537034,0.8980328752780902,0.9031770932098838,0.9057492021757805,0.913465529073471
5,0.45653607269846036,0.043567007748806265,0.07681547943480396,0.05,53.770835604362766,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.5671644318224055,5377.0835604362765,1.7426803099522505,0.8817090280939395,0.8920779012117536,0.8972623377706607,0.912815647447382
6,0.4549573519925535,0.050390375624532524,0.08091184326634338,0.05500000000000002,56.638290286440366,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.6227812096513347,5663.829028644037,2.015615024981301,0.9167685495217497,0.9173484513247264,0.9176384022262147,0.91850825493068
3,0.45420606598380103,0.033173480444399946,0.07444532025131481,0.040000000000000015,52.11172417592038,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.4456086740229189,5211.172417592038,1.326939217775998,0.8485805448377358,0.8678240785654731,0.8774458454293418,0.9063111460209479
2,0.4541016132397872,0.033679938243016634,0.07956444659933985,0.03500000000000001,55.695112619537895,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.42330387104453354,5569.5112619537895,1.3471975297206655,0.9539142705205119,0.945544591240549,0.9413597516005676,0.9288052326806232
4,0.4540178826790256,0.0424952383552251,0.07827288278736044,0.045,54.791017951152305,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.5429113741813948,5479.101795115231,1.6998095342090038,0.9398163275354185,0.9352940249547238,0.9330328736643765,0.9262494197933343
12,0.4419796274390447,0.08448665023677183,0.088100960892325,0.085,61.670672624627514,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.9589753548775649,6167.067262462751,3.3794660094708733,0.977548280638211,0.961135970255577,0.95292981506426,0.928311349490309
8,0.4377790683288643,0.06545507250299162,0.08629225007191135,0.06499999999999999,60.404575050337954,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7585278220053928,6040.457505033795,2.618202900119665,0.9771406576411052,0.9612824307128511,0.9533533172487241,0.9295659768563429
9,0.43320068302390025,0.06779494718309602,0.0849346507809108,0.07000000000000002,59.45425554663756,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7982012825127557,5945.425554663756,2.7117978873238404,0.9578124662220578,0.9471256869713156,0.9417822973459447,0.9257521284698313
7,0.42932481298055775,0.05897255600551725,0.08322456228585257,0.06000000000000002,58.2571936000968,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7085955682525957,5825.71936000968,2.35890224022069,0.9696558342830593,0.9564357351408312,0.9498256855697174,0.9299955368563755
13,0.42486847195070143,0.08924560510656879,0.09266861624371932,0.09000000000000004,64.86803137060353,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.9630618080219523,6486.803137060353,3.5698242042627517,0.9747605443652005,0.9579032542129706,0.9494746091368556,0.9241886739085108
10,0.4244886649927092,0.06707337481054931,0.08615138029415081,0.075,60.30596620590557,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7785525267446378,6030.596620590557,2.6829349924219725,0.8982190552536959,0.9021264463667342,0.9040801419232534,0.909941228592811
15,0.4089120135855374,0.08913796211801368,0.0900222053543374,0.1,63.01554374803618,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.9901774986199989,6301.554374803618,3.565518484720548,0.895099255873242,0.8988188905663471,0.9006787079128997,0.9062581599525575
