,reward,velocity,power_normalized,target_v,total_power_sec,env,seed,id,v_e_ratio,power,distance_delta,rew_b_1.0_v_rate_0.8,rew_b_1.0_v_rate_0.6,rew_b_1.0_v_rate_0.5,rew_b_1.0_v_rate_0.2
4,0.4931863341467421,0.05225853164578925,0.07143181589062676,0.045,50.00227112343873,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7315862125891522,5000.227112343873,2.09034126583157,0.8566730742300657,0.8746468516998926,0.883633740434806,0.9105944066395464
5,0.4831189160557225,0.052438149669907175,0.07419902349590478,0.05,51.93931644713334,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7067229081903128,5193.931644713334,2.097525986796287,0.9461498005823044,0.941062594562752,0.9385189915529759,0.9308881825236476
2,0.4755754423102046,0.04713232180589737,0.07037993394033241,0.03500000000000001,49.2659537582327,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.6696840870276434,4926.59537582327,1.8852928722358944,0.7086138005057083,0.7638653668941982,0.7914911500884431,0.8743684996711778
6,0.46019375245480143,0.054582578313632855,0.073066689921899,0.05500000000000002,51.146682945329296,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7470241004755543,5114.668294532929,2.1833031325453143,0.9793150738502796,0.966219632907235,0.9596719124357127,0.9400287510211457
7,0.45487743151071086,0.059199387861096825,0.07914270840816952,0.06000000000000002,55.39989588571867,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7480081115721073,5539.989588571867,2.3679755144438728,0.9734966297996568,0.9603367952477003,0.953756877971722,0.9340171261437872
1,0.45285756477280503,0.047885903137269176,0.07312396070324814,0.03000000000000001,51.186772492273704,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.6548592646889011,5118.67724922737,1.9154361254907668,0.508417790865506,0.6130323529733175,0.6653396340272233,0.8222614771889405
3,0.45280899219329873,0.04543363513338182,0.07394556610785609,0.040000000000000015,51.761896275499254,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.6144200054823149,5176.189627549926,1.817345405335273,0.8765381841107928,0.8889172465561305,0.8951067777787994,0.9136753714468061
9,0.4467466869222247,0.06285901196910589,0.07774587321330811,0.07000000000000002,54.42211124931568,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.8085189524676407,5442.211124931568,2.5143604787642353,0.9028395335756912,0.9076931818784413,0.9101200060298165,0.9174004784839418
10,0.4446810031909632,0.0719479415837163,0.08086819710171408,0.075,56.60773797119986,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.889693898990006,5660.773797119986,2.8779176633486516,0.9512710708059645,0.9432362538290447,0.939218845340585,0.9271666198752055
0,0.43332841911819914,0.04965788315983955,0.06993275208937051,0.025,48.95292646255937,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.7100804941349841,4895.292646255937,1.9863153263935822,0.19696118846726024,0.3802377033281026,0.4718759607585237,0.7467907330497872
11,0.43168695672844687,0.06959676681128928,0.08259163533473346,0.08000000000000003,57.81414473431343,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.842661203271038,5781.414473431343,2.783870672451571,0.8794493410459459,0.888939096950776,0.8936839749031911,0.9079186087604364
8,0.42810110357432746,0.056075349950634464,0.08201295086398379,0.06499999999999999,57.40906560478864,<TimeLimit<MujocoPlanarSnakeCarsAngleLineEnv<Mujoco-planar-snake-cars-angle-line-v1>>>,1,Mujoco-planar-snake-cars-angle-line-v1,0.6837377433673113,5740.906560478864,2.2430139980253783,0.8737555630657814,0.88481343458334,0.8903423703421195,0.9069291776184576
